title,salary,city
Consultant Data Strategy (f/m/d),keine Angabe,"Frankfurt/Main, Hamburg, Köln, Leipzig, Stuttgart"
Consultant SAP Financial Services Data Platform (FSDP) (m/w/d),72000,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München"
"Global Financial & Systems Analyst / Experte EPM, Schwerpunkt OneStream",86000,Neu-Isenburg (bei Frankfurt a. M.)
2026 Commercial & Investment Bank - Global Corporate Banking Analyst Program ( Large-Cap)- Off-Cycle Internship (January-June) – Frankfurt,keine Angabe,"Frankfurt a. Main, Germany"
2025 Commercial & Investment Bank - Global Corporate Banking Analyst Program ( Mid-Cap)- Off-Cycle Internship (October-March) – Frankfurt,keine Angabe,"Frankfurt a. Main, Germany"
"Private Wealth Management, Financial Analyst (Italian Speaker), Analyst, Frankfurt",71000,"Frankfurt, Germany"
"Controller/ FP&A Analyst (m/w/d)* (in Vollzeit, 60% Home Office-Option)",76000,Frankfurt
Investment Analyst (w/m/d) für Venture und Growth Capital-Fonds,85000,Frankfurt am Main
Security Analyst 1st Level Security Operations Center (m/w/d),79000,"Aachen, Berlin, Frankfurt am Main, Hamburg, Hannover, Köln, Košice, Leipzig, München, Stuttgart"
(Junior) AML Operations Analyst (m/w/d) C24 Bank,70000,Frankfurt am Main
Wirtschaftsförderer (d/m/w) für Community Management AI & Data Driven Business,keine Angabe,Frankfurt am Main
Werkstudent Aktuariat Leben / Data Science (m/w/d),90000,Frankfurt am Main
Duales Studium Wirtschaftsinformatik Data Science (B.Sc.) - Start Oktober 2025 (m/w/d),keine Angabe,"Frankfurt am Main, Köln"
Planungsspezialist TGA Rechenzentrum / Data Center (m/w/d),78000,"Mannheim, Hirschberg an der Bergstraße, Frankfurt am Main"
Data Engineer (m/w/d),85000,"Hamburg, Frankfurt, München, Hannover, Köln, Berlin, Düsseldorf, Stuttgart"
Werkstudent Financial Data – Bonds (m/w/d),keine Angabe,Frankfurt am Main
Engineering - Data Governance Officer - Vice President – Frankfurt,135000,"Frankfurt, Germany"
(Junior) Consultant im Bereich Data Center / Infrastrukturprojekte (m/w/d),77200,Frankfurt am Main
Objektüberwacher TGA Rechenzentren / Data Center / Elektrotechnik / Nachrichtentechnik (m/w/d),80000,"Frankfurt am Main, Wiesbaden, Hanau, Darmstadt, Offenbach am Main"
Engineering - Data Governance Officer - Associate - Frankfurt,78000,"Frankfurt, Germany"
Senior Consultant Customer Data & Tech (m/w/d),76000,"Berlin, Frankfurt am Main, Hamburg, Köln, München, Stuttgart"
Business Analyst in IT-Projekten (w|m|d),72000,"Frankfurt a.M., Mannheim, München, Nürnberg, Stuttgart"
Data Engineer (all genders),77000,"Frankfurt am Main, Berlin, Hamburg, Düsseldorf, München, Stuttgart"
Praktikum als Fellow Consultant (w/m/d) Steering Lab - Schwerpunkt Data Science,keine Angabe,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Stuttgart"
Business Analyst /Banking (all genders),84000,"Berlin, Frankfurt am Main, Ismaning bei München, Karlsruhe, Köln, Nürnberg, Passau, Stuttgart"
